,username,tweet,tweetP
212,candy_flip,⠀ ⠀ ⠀  🤠　   🍬🍬🍬    🍬   🍬　🍬   👇   🍬🍬 👇  　  🍬　🍬　   🍬　 🍬　   👢     👢howdy. i'm the sheriff of candy,howdy i m the sheriff of candy
213,NanaNamaMari,"I thought I’d make keychains with them 😭I remembered about my headcanon that Erebus likes red onions (that you can actually find in the game in this place). anyway, when he was a kid, he hid onions under his pillow like candy 😭🤲🏻 https://t.co/b5WyOToqCd",I thought I d make keychains with them I remembered about my headcanon that Erebus likes red onions that you can actually find in the game in this place anyway when he was a kid he hid onions under his pillow like candy
214,bngtnborahaetk,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
215,mygthv,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
216,carats2696,"#FBSPHGO #TWICE[Pre-order] [Restock]▪TWICE CANDY BONG Z - PHP 2550ORDER FORM: https://t.co/HVwUvRhano 💸 Pay half of the price as you order💸 Balance: December 30, 2021 💯 Official from Korea and Sealed💯 with freebies from our shop📌Normal ETA https://t.co/dDQO0ZQz2a",FBSPHGO TWICE Pre order Restock TWICE CANDY BONG Z PHP 2550ORDER FORM Pay half of the price as you order Balance December 30 2021 Official from Korea and Sealed with freebies from our shop Normal ETA
217,girpquotes,The fact that he pushes people off the roof for some candy?,The fact that he pushes people off the roof for some candy
218,KLM52719620,[week10 - candy] 🍬✨#oikage #โออิคาเง #โอยเง #及影 #OikageWeekly #สอนเสิร์ฟรายสัปดาห์ https://t.co/TlTaRofU73,week10 candy oikage OikageWeekly
219,NonRadix,"Cold night like this, some eye candy and Christmas 🎄 hints not even 10 stations away from home. Sidenote: the selfie isn't really for me but for the gold chained jii-sama behind me. https://t.co/94oKNI7Smn",Cold night like this some eye candy and Christmas hints not even 10 stations away from home Sidenote the selfie isn t really for me but for the gold chained jii sama behind me
220,itsall4yanna,pink candy panda bear via https://t.co/Cv57r3ADFp,pink candy panda bear via
221,Nanaphysio,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely
222,amaieros,@SumOf134 /  rly gets ur muse going to have fitting song right!!i do the same for candy,rly gets ur muse going to have fitting song right i do the same for candy
223,honeybear_hobi,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
224,WofahKay1,Not mean playing candy crush to avoid getting upset in this meeting 🤣,Not mean playing candy crush to avoid getting upset in this meeting
225,giggleboxxx,"Fellas surprise her with her favorite candy, but her flowers, pay a bill, send her to a spa. Do something that shows her you’re thinking of her, it doesn’t even have to be monetary gesture just do something thoughtful.",Fellas surprise her with her favorite candy but her flowers pay a bill send her to a spa Do something that shows her you re thinking of her it doesn t even have to be monetary gesture just do something thoughtful
226,vkjreads,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
